"edge_id","source_id","target_id","edge_weight","edge_type","strength","created_dt"
469,39,470,0.940,owns,strong,2023-01-02
19719,9726,10163,0.810,controls,strong,2023-06-12
8585,3610,3453,0.320,introduced,weak,2023-10-11
14152,6853,7189,0.680,employs,medium,2023-11-17
20188,10017,10049,0.740,transfers_to,strong,2023-12-11
11603,5663,5689,0.610,transfers_to,medium,2023-10-05
17170,8451,8505,0.620,transfers_to,medium,2023-03-26
3018,1363,1311,0.880,transfers_to,strong,2023-01-24
18577,9136,8981,0.370,transfers_to,weak,2023-06-26
9054,4314,4662,0.920,owns,strong,2023-03-13
6036,2878,3393,0.710,controls,strong,2023-02-04
14621,7167,7658,0.840,controls,strong,2023-06-07
13010,6470,6551,0.550,transfers_to,medium,2023-02-14
17639,8561,8885,0.640,controls,medium,2023-07-29
3487,930,1073,0.570,introduced,medium,2024-05-30
12072,5994,6001,0.770,recruited,strong,2023-03-18
19046,9424,9490,0.610,recruited,medium,2023-07-06
6505,3217,3195,0.510,transfers_to,medium,2023-01-23
20657,10295,1996,0.340,victim_of,weak,2023-01-27
938,676,370,0.470,transfers_to,medium,2023-03-26
16497,7742,8555,0.700,uses,strong,2023-10-03
15090,7254,7484,0.830,transfers_to,strong,2023-09-07
3956,1750,2102,0.800,owns,strong,2024-02-16
12541,6307,6470,0.890,owns,strong,2023-01-18
13948,6856,6985,0.590,recruited,medium,2024-03-11
9523,4367,5114,0.680,uses,medium,2023-02-23
18108,8565,9354,0.880,controls,strong,2023-07-03
6974,3447,3472,0.530,recruited,medium,2023-05-05
16966,8108,8106,0.670,transfers_to,medium,2024-02-24
4425,1988,2548,0.430,uses,medium,2024-01-07
1407,358,419,0.630,transfers_to,medium,2023-03-11
15559,6877,7411,0.600,co_owns,medium,2023-06-17
5832,2874,3189,0.900,owns,strong,2023-05-20
1876,881,953,0.550,recruited,medium,2023-08-21
9992,4664,4745,0.350,transfers_to,weak,2023-01-12
7443,3504,3941,0.870,owns,strong,2023-03-11
11868,5177,5904,0.660,launders_to,medium,2024-03-18
10461,5159,5230,0.450,recruited,medium,2023-01-16
16028,7864,8142,0.910,owns,strong,2023-01-17
4894,2117,2308,0.840,transfers_to,strong,2024-05-08
9319,4545,4927,0.940,owns,strong,2024-01-16
2345,1013,1422,0.740,owns,strong,2024-02-25
13479,6574,6499,0.500,transfers_to,medium,2023-10-10
5363,2585,2720,0.440,recruited,medium,2023-08-25
3752,1737,1898,0.540,recruited,medium,2023-01-09
265,18,266,0.680,recruited,medium,2023-10-18
7912,3830,3981,0.410,transfers_to,medium,2023-10-04
19515,9633,9959,0.840,owns,strong,2024-01-16
6770,3335,3361,0.510,transfers_to,medium,2023-03-31
3283,1281,1399,0.540,transfers_to,medium,2023-02-25
10930,5346,5699,0.840,owns,strong,2024-04-02
8381,3950,3891,0.830,transfers_to,strong,2024-01-28
9788,4679,4902,0.700,transfers_to,strong,2023-05-26
20453,9487,10164,0.630,launders_to,medium,2023-09-06
2814,1216,1297,0.870,transfers_to,strong,2024-03-01
19984,9937,9978,0.390,transfers_to,weak,2023-09-28
7239,3425,3737,0.800,controls,strong,2023-03-31
17904,8647,9150,0.940,owns,strong,2024-04-21
11399,5765,5609,0.510,transfers_to,medium,2023-02-16
